checkname,school,hospital,park,retail
唐厝村委会,299,72,24,643
跃进村委会,303,76,23,527
西浦村委会,304,24,12,565
扬美村委会,308,33,13,486
唐厝村委会,309,72,24,657
王湾村委会,311,29,13,177
吾都村委会,312,75,22,285
秦溪村委会,319,32,16,176
龙山村委会,319,35,14,476
上浦村委会,320,78,19,626
霞苑村委会,329,52,12,381
仕春村委会,329,92,25,833
瑶头村委会,333,31,14,635
阳城村委会,333,49,12,386
斗顶村委会,334,52,58,265
港利村委会,336,49,12,375
留洋村委会,338,31,16,178
仕春村委会,340,92,25,828
莲塘村委会,343,41,15,421
上山村委会,350,83,25,318
斗顶村委会,351,52,58,267
塔头孙村委会,353,101,27,1010
柴塔村委会,355,101,27,1015
柴塔村委会,356,101,27,996
光德村委会,358,82,21,305
东宅村委会,359,20,25,394
下江头村委会,360,40,4,448
塔头孙村委会,361,101,27,1017
崎沟村委会,363,21,24,427
土楼村委会,363,80,22,290
同美村委会,364,82,19,298
美法村委会,364,86,23,327
新店村委会,366,103,25,1002
新厝村委会,367,53,14,316
新店村委会,373,103,25,1018
西吴村委会,378,61,17,493
砖文村委会,380,86,23,340
胪厦村委会,382,54,18,499
涵埭村委会,383,95,18,993
西吴村委会,388,61,17,479
木兰村委会,390,36,10,660
涵埭村委会,391,95,18,1008
林口村委会,400,52,14,284
后店村委会,405,52,14,285
浯潭村委会,405,99,31,1007
浯潭村委会,411,99,31,984
洋埭村委会,417,100,31,1005
涵口村委会,419,113,18,1111
涵口村委会,424,113,18,1106
洋埭村委会,432,100,31,1044
钱头村委会,432,100,32,1025
钱头村委会,441,100,32,1015
英村社区居委会,455,16,27,456
横坂村委会,462,117,18,1116
横坂村委会,465,117,18,1097
新峰村委会,468,71,21,543
洋茂村委会,468,94,33,1017
洋茂村委会,469,94,33,1013
洋埔村委会,473,77,33,412
坊脚村委会,479,112,23,926
坊脚村委会,482,112,23,910
池店村委会,483,94,32,1012
池店村委会,484,94,32,1014
建平村委会,485,47,26,441
张林村委会,512,111,20,789
浦口村委会,519,56,32,471
梧坑村委会,520,70,22,627
梧坑村委会,527,70,22,630
仙石村委会,530,95,34,1051
张林村委会,530,111,20,773
仙石村委会,531,95,34,1052
鹏头回族村委会,536,125,21,1152
苏厝村委会,538,134,19,1221
洋潭村委会,539,54,19,440
梧埭村委会,546,123,23,880
鹏头回族村委会,546,125,21,1134
浦口村委会,547,55,32,450
翰苑村委会,549,137,19,1261
海尾村委会,551,77,29,881
江头回族村委会,551,125,21,1127
海尾村委会,553,77,29,871
苏厝村委会,553,134,19,1215
仑后村委会,556,89,31,781
江头回族村委会,558,125,21,1126
桂林村委会,558,130,28,1013
厝仔村委会,562,72,25,581
赤塘村委会,563,105,36,1057
梧埭村委会,564,123,23,900
排头村委会,566,54,19,441
横屿村委会,568,93,86,405
江坊村委会,572,54,19,424
横屿村委会,574,93,86,400
溪边回族村委会,574,128,26,1103
洋潭村委会,576,54,19,450
御辇村委会,577,99,33,1018
岸兜回族村委会,579,133,29,1039
桂林村委会,581,130,28,1048
宫口村委会,584,128,25,911
排头村委会,585,54,19,454
赤塘村委会,588,105,36,1075
御辇村委会,590,99,33,1035
彭田村委会,592,78,24,693
庵上村委会,596,98,37,1045
庵上村委会,597,98,37,1036
凤林美社区居委会,599,16,41,521
岸兜回族村委会,599,133,29,1074
仕林村委会,600,104,29,822
宫口村委会,601,128,25,934
溪边回族村委会,602,128,26,1111
花厅口回族村委会,604,143,29,1114
港塘村委会,611,106,31,836
花厅口回族村委会,613,143,29,1111
霞福村委会,619,103,36,1104
霞福村委会,623,103,36,1122
钞坑村委会,634,95,29,790
塘园村委会,648,96,25,849
灵峰村委会,649,104,27,879
华山村委会,652,105,31,806
檀林村委会,655,105,31,836
茂厦村委会,661,108,31,866
灵狮村委会,667,98,28,893
东山村委会,667,105,31,878
塘后村委会,670,96,33,868
东山村委会,679,105,31,851
前廊村委会,686,103,30,872
塔前村委会,686,105,33,833
灵山村委会,690,104,27,892
北大村委会,744,54,19,922
江边村委会,830,62,41,576
叶厦村委会,843,62,41,573
北园村委会,853,62,41,589
高湖村委会,905,108,53,739
清濛村委会,935,120,30,1202
清濛村委会,935,120,30,1230
华洲村委会,996,133,36,1207
华洲村委会,1017,133,36,1219
横屿村委会,1157,164,79,833
樟林村委会,1162,163,80,864
健康村委会,1172,148,105,743
坑内村委会,1180,55,85,648
樟林村委会,1200,163,80,841
健康村委会,1234,148,105,768
