checkname,school,hospital,park,retail
苏吕村委会,48,7,2,23
港头村村委会,48,7,7,71
上安恬村委会,48,12,3,86
泉府村委会,48,13,4,95
唐山村,48,15,1,65
新南岙村委会,48,16,1,70
洞桥村委会,48,18,5,63
沈师桥村委会,48,18,5,64
四界村委会,48,21,0,107
前排村委会,49,12,1,89
谢家路村委会,49,17,4,79
施叶村委会,49,24,1,117
左任新村委会,50,12,4,33
李塘村委会,50,12,4,174
潮济村委会,50,12,5,39
潭头卢村委会,50,13,2,91
石塔头村委会,50,13,3,107
一灶村委会,50,17,0,56
新缪路村委会,50,17,5,55
花木村委会,50,21,0,102
东港村委会,50,21,0,104
久联村委会,50,27,6,89
镇龙殿村委会,50,33,5,104
坎头村委会,51,5,1,37
阁三村委会,51,13,2,92
黎明村委会,51,17,0,57
湖东村委会,51,17,6,44
镆剑山村委会,51,19,3,70
罗幕村委会,51,23,3,83
贺家村委会,52,7,1,45
仙垟村委会,52,11,6,21
柴家坞村委会,52,13,2,47
洋湖塘村委会,52,16,2,123
泰山村委会,52,17,6,143
前店村委会,52,21,4,116
夹塘村委会,52,22,4,90
新姜村委会,53,8,4,33
郑宅村委会,53,9,3,29
宜南村委会,53,16,4,145
下林村委会,53,18,5,73
麻溪村村委会,53,29,5,129
五夫村委会,54,13,2,72
大联村委会,54,15,1,164
南新村委会,54,15,4,104
俊塘村委会,54,19,2,122
江南村委会,54,21,17,53
四界村委会,54,23,1,122
蒋家桥村委会,54,24,1,117
沧田村委会,54,27,3,90
前兴村委会,54,32,4,109
靖东村委会,54,43,4,102
巴里村委会,55,11,7,55
新民村委会,55,12,1,30
汇头林村委会,55,16,6,47
郑巷村委会,55,19,3,69
胜利村委会,55,19,4,54
西郑巷村委会,55,22,4,89
大云村委会,55,27,3,91
大港村委会,56,12,3,130
湖滨村委会,56,23,1,122
新梅村委会,56,24,6,79
市山村委会,57,9,3,83
山北居委会,57,9,3,83
东埠头村委会,57,11,7,55
新泰村委会,57,14,2,72
湾下村委会,57,15,1,38
花园村委会,57,16,4,112
向红村委会,57,17,2,55
洪家村委会,58,9,3,83
朱家角社区,58,14,2,74
湘南村委会,58,18,4,120
西岙村委会,58,20,10,74
双龙村委会,59,13,10,32
樟村村委会,59,14,10,33
林西村委会,59,28,9,108
梅林村委会,59,42,2,122
下秧田村委会,60,12,2,29
长垄村委会,60,14,6,36
桥一村委会,60,28,9,108
车路湾村委会,60,33,1,126
黄梁陈村委会,61,8,2,63
东石塘村委会,61,10,5,161
蒋宅村委会,61,22,1,117
通二村委会,61,24,5,84
群力村委会,61,31,1,134
蔡洋村委会,61,32,3,69
中厢村委会,61,32,3,69
长屿村委会,61,32,3,70
塘下村委会,61,32,3,70
前洋下村委会,61,38,0,52
谢家溪村委会,62,9,9,69
渔岙村委会,62,11,2,72
新下湖村委会,62,14,1,65
凌家汇村委会,62,15,2,134
江浦村委会,62,18,2,55
新南王村委会,62,23,5,70
下李村委会,62,24,2,45
洋龙村委会,62,26,2,120
临区村委会,62,28,2,54
下王村委会,63,6,5,45
民利村村委会,63,16,3,129
木桥头村委会,63,16,8,83
前屋村委会,63,18,4,163
海晏庙村委会,63,24,1,116
顺坝村委会,64,7,3,60
净土岙村委会,64,8,2,64
大湖沿村委会,64,14,3,159
筋竹村委会,64,19,10,80
上庞村委会,65,10,2,31
杨宅村委会,65,11,9,59
共何村委会,65,14,1,66
潘桥村委会,65,14,5,68
九甲村委会,65,15,3,62
西墟村委会,65,21,4,70
联三村委会,65,21,4,128
孔湖村委会,65,23,1,132
河头村委会,65,24,4,68
花塘村委会,65,25,1,119
老浦村委会,65,26,2,122
众力村委会,65,34,5,117
衙前村委会,65,41,7,186
万安村委会,65,46,7,171
荷花塘村委会,66,9,5,107
勤丰村委会,66,10,2,53
中华村村民委员会,66,10,8,95
蟾东村委会,66,12,6,54
中村社区,66,13,4,52
大岐山村委会,66,13,7,71
柳三村委会,66,18,3,145
起鸣村委会,66,19,1,106
下洋张村委会,66,22,3,65
南圆村委会,66,24,1,116
向公村委会,66,24,4,75
新园村委会,66,26,1,129
四塘南村委会,66,26,1,136
甘露村委会,66,45,8,152
楼下张村委会,66,50,1,62
三塘头村委会,67,13,7,72
低田村委会,67,14,3,206
南湖村委会,67,14,4,59
湘东村委会,67,18,5,118
海甸戎村委会,67,19,10,82
蜀南村委会,67,22,3,76
花木村委会,67,25,1,117
上舍村委会,67,26,1,130
墅上王村委会,67,26,4,75
宾舍村委会,67,26,4,169
干家路村委会,67,28,2,130
德北村委会,67,46,7,96
大路村委会,68,13,1,34
仙宅村委会,68,14,4,58
义桥村委会,68,14,4,59
金星村委会,68,14,4,59
横径村委会,68,29,3,44
党山村委会,68,42,4,166
新塘头村委会,68,46,7,185
新安村委会,69,10,7,34
移沿山村委会,69,11,6,105
东安村村委会,69,16,6,115
杏林村委会,69,20,4,61
五马村委会,69,25,5,83
三群村委会,69,26,1,135
长洋村委会,69,29,2,47
上王村村民委员会,70,10,2,60
瓦瓷窑村,70,18,5,50
黎明村委会,70,31,1,136
花桥村委会,71,11,5,28
繁荣村委会,71,25,8,76
红光村委会,71,26,4,74
大一村委会,71,26,4,79
前梅村委会,71,26,5,190
新闸村委会,71,31,1,134
洋龙村委会,71,34,1,151
上黄村委会,72,16,3,75
御驾桥村村委会,72,18,6,136
淞浦村委会,72,19,9,101
宋桥社区,72,19,10,125
长命村委会,72,21,5,91
东渡村委会,72,21,11,90
下山后村委会,72,28,2,112
上珙村委会,72,31,20,94
费庄村委会,72,33,6,149
荣誉村委会,72,34,1,147
芝兰村委会,72,49,7,219
城南村村委会,73,15,4,167
苏家园村委会,73,16,4,120
五姓点村委会,73,18,10,100
土墩塘村委会,73,20,11,81
三都社区,74,13,1,70
河上村委会,74,19,0,87
筋竹村委会,74,19,9,97
下村村委会,74,20,3,90
施公山村委会,74,20,13,91
凤仪村委会,74,28,4,179
戚家桥村委会,74,33,6,141
南鉴村委会,74,40,4,68
新林周村委会,74,44,7,238
仙南村委会,75,13,9,122
湖滨村委会,75,18,8,86
鸣鹤居委会,75,19,8,86
麻车村委会,75,48,8,251
八联村委会,76,18,6,126
塘下村委会,76,18,8,86
城隍庙社区,76,19,8,85
王家路村委会,76,19,9,93
邢宅村委会,76,21,4,159
吴家堡村委会,76,23,5,103
小赭村委会,76,25,4,153
自由村委会,76,29,7,99
松溪弄村村委会,77,8,8,86
枫溪村委会,77,18,4,219
巧云村委会,77,19,0,81
王家路村委会,77,19,9,102
前垟村委会,77,25,3,68
横泾堂村委会,77,37,27,128
黄碧街村村民委员会,78,9,5,37
算山村委会,78,16,5,151
厉家村委会,78,18,9,100
西门外村委会,78,19,10,100
河头村委会,78,25,3,68
松建村委会,78,27,4,80
群益村委会,78,41,3,147
叶家村委会,79,18,9,99
海甸戎村委会,79,23,12,102
黄华关村委会,79,32,11,95
盛东村委会,79,37,12,209
石粘村委会,79,49,7,240
塘里蒋村委会,80,17,5,162
茅桥埭村村委会,80,18,5,145
双马村委会,80,21,11,95
东陶村委会,80,29,2,305
水湘村委会,80,32,2,133
老浦村委会,80,34,2,148
横塘村委会,80,54,7,271
潘家庄村委会,81,14,6,137
供店村委会,81,19,3,134
三北居委会,81,21,13,92
鲍宅村委会,81,22,5,128
浦沿村委会,81,33,2,137
油屿村委会,81,40,9,195
云岩村委会,81,44,7,70
后张村委会,82,17,4,167
钱家埭村村委会,82,18,4,145
上莫村村委会,82,19,5,149
双马村委会,82,19,10,97
裘家村委会,82,22,10,107
南阳村村委会,82,23,6,152
双庆浦村委会,82,31,1,169
双庆浦村委会,82,32,2,132
许家浜村委会,82,37,2,138
中沙村委会,82,41,7,116
西山村委会,83,15,6,102
东渡村委会,83,20,13,92
元甲村委会,83,21,13,101
塘里村委会,83,23,5,99
施公山村委会,83,23,12,96
柯村村委会,83,26,2,170
高桥村委会,83,33,2,138
城北村委会,83,34,5,86
元沙村委会,83,47,8,242
夹屿村委会,83,51,4,225
埭头蔡村委会,83,51,5,213
直塘村委会,84,18,10,98
周家段村委会,84,23,10,121
溪干村委会,84,25,1,185
水湘村委会,84,34,2,150
马家村委会,84,47,5,200
超丁村委会,85,19,6,107
下盟村委会,85,25,2,81
桥外村委会,85,27,3,115
石柜岙村委会,85,28,1,58
荣誉村委会,85,34,2,161
沿江村委会,85,47,8,240
杨家楼村委会,86,17,5,223
厉家村委会,86,21,9,90
东埠头村委会,86,21,9,92
新院村委会,86,22,4,211
垟头村委会,86,23,6,202
高桥村委会,86,34,2,162
山末址村委会,86,42,8,279
东横下宅村委会,87,7,5,45
泉塘村委会,87,15,3,183
楼下张村委会,87,21,4,238
齐山楼村委会,87,22,4,216
巴里村委会,87,23,10,108
周家段村委会,87,23,10,118
光明村委会,87,27,3,139
上舍村委会,87,31,1,165
石家岙村委会,87,38,2,130
马桥村委会,88,16,9,197
三星村委会,88,19,6,112
景卫村村委会,88,20,5,147
浦东村委会,88,24,3,62
后岸村委会,88,36,8,78
上柳家村委会,89,23,3,145
柴家村委会,89,23,10,116
陈家村委会,89,23,10,122
红桥头村委会,89,28,3,183
黄华堡村委会,89,32,11,99
六塘村委会,89,33,4,102
镇中村委会,89,41,7,116
长大村委会,89,49,5,159
运西村委会,89,50,7,121
前京村委会,90,17,6,238
五丰村村委会,90,19,5,123
柱山社区,90,21,8,274
上市村村委会,90,23,5,168
五丰村委会,90,25,2,88
新缪路村委会,90,33,6,154
新潮村委会,90,33,6,155
义士塔村委会,91,14,8,95
花园村委会,91,20,6,224
新益村村委会,91,21,6,144
超山村委会,91,22,7,83
龙华村委会,91,32,2,69
金临湖村委会,91,32,3,158
彭桥村委会,91,33,4,101
单木桥村委会,91,48,7,123
鲍七村委会,92,17,6,246
柱峰村委会,92,20,7,267
油碑塘村委会,92,24,4,243
沙园村委会,92,25,6,138
桥头村委会,92,28,3,185
大傅宅村委会,92,29,4,243
照洋村委会,92,33,3,142
谢垟底村委会,92,45,8,71
吴山村委会,92,51,12,294
莼塘社区,93,20,9,262
五姓点村委会,93,23,10,112
六都村村民委员会,93,24,4,239
双凌村委会,93,28,3,127
黄华村委会,93,30,12,101
黄库村委会,93,37,2,87
后谢村委会,93,37,3,78
良三村委会,94,13,4,289
杭金七村委会,94,21,9,300
良山村委会,94,30,3,144
下畈村委会,94,32,4,228
大义村委会,94,37,8,183
上叶村委会,94,37,16,220
后陈村委会,94,52,12,300
王莲塘村委会,95,17,6,179
王阡村村民委员会,95,18,5,163
穗丰村委会,95,19,12,165
柴家村委会,95,22,10,108
汤家闸村委会,95,27,7,124
流下村委会,95,31,2,182
四甲村委会,95,33,16,123
上岩村委会,95,34,13,110
长巷村委会,95,40,8,159
前陈村委会,95,61,9,325
石柱下村委会,96,11,3,72
花塘村委会,96,24,4,151
塘头村委会,96,24,7,136
新中村委会,96,26,3,254
上西陶村委会,96,33,2,334
殿下村委会,96,35,3,142
刘宅村委会,97,19,2,172
叶家村委会,97,19,9,113
马道头村委会,97,34,12,117
上屋村委会,97,34,12,121
二河村委会,97,37,9,78
渔庄村委会,97,38,6,160
夏迹塘村委会,98,15,4,208
刘宅村委会,98,19,2,167
上潘社区居民委员会,98,30,3,172
石塔一村委会,98,32,6,214
甲村村村委会,98,37,5,134
戎家村委会,99,19,9,111
淹浦村委会,99,25,16,125
马丁村委会,99,26,5,287
东畈村委会,99,26,7,112
凤凰村委会,99,29,8,205
陈家村委会,99,39,3,141
绚珠村委会,100,15,4,70
店后村委会,100,35,17,121
念母洋村委会,100,39,4,166
章良村委会,100,40,12,93
解放村委会,100,42,7,136
梅家坞村委会,101,19,30,68
南圆村委会,101,24,4,153
下社村委会,101,25,7,236
潘郎村委会,101,43,5,180
湖堤村委会,102,26,6,119
东风社区,102,46,8,82
八份村委会,102,55,6,237
牧南村委会,102,56,5,246
沈桥村委会,102,61,9,322
沈师桥村委会,103,24,12,127
山北底村委会,103,25,4,85
洞桥村委会,103,25,16,131
南翔村委会,103,33,9,137
前林村委会,103,36,17,124
双峰村委会,103,53,7,208
石堰村委会,104,26,7,112
张浒村委会,104,29,6,300
霓岙村委会,104,32,7,125
曹田前村委会,104,33,14,116
夏演村委会,104,36,4,218
渚里村委会,104,60,4,249
西桐村委会,104,66,7,299
雅村村委会,105,20,3,269
潭河沿村委会,105,40,7,166
和顺村委会,105,48,12,131
新来桥村委会,106,16,4,98
南陀村委会,106,18,6,50
杨庄浜村村民委员会,106,20,8,148
凤桥村委会,106,20,9,336
锦堂村委会,106,20,11,127
师东村委会,106,24,12,136
仙降村委会,106,25,5,241
西山下村委会,106,26,2,296
新益村委会,106,31,9,121
东普村委会,106,59,24,332
前瓦屿村委会,106,61,8,264
